72.024000	65.177167	73.237233	67.567567	53.093100	71.579567	78.270267	77.573567	71.039033	68.576600	79.207200	68.420400	74.150167	65.369333	94.030000	
73.454133	64.927533	72.512100	67.198067	52.198067	71.594200	78.574867	76.980700	72.246367	67.318833	80.289867	68.671533	74.106300	65.700500	93.840567	
73.989033	63.934467	72.021867	66.666667	50.965400	72.349733	78.433500	76.612000	72.021833	65.100200	80.255033	67.759567	74.098367	64.480867	94.316933	
74.299533	63.381633	71.787433	65.265733	50.289833	72.125600	78.164233	75.942033	71.256033	64.492733	79.855100	66.618367	73.285000	65.120767	94.106300	
73.213200	62.042067	72.492467	66.486467	50.090100	72.672667	78.078067	76.516533	70.270267	63.843867	79.339367	65.345333	72.072067	65.345333	94.834833	
70.318333	64.624633	73.405400	68.816833	52.528533	70.738733	77.657667	77.153133	75.051033	70.354367	81.189200	69.717700	75.615600	66.090100	92.900900	
71.642533	63.743933	73.067633	67.487933	52.318833	70.917867	77.729467	76.062800	75.483100	69.637700	80.193267	68.550733	75.724633	67.608700	93.671467	
71.402533	61.566500	73.624767	68.961733	51.584733	71.511833	77.704900	76.247733	75.154833	68.633867	79.927133	67.796000	75.883433	67.285933	93.551933	
71.787433	62.173900	72.560367	66.183600	52.270533	71.159400	77.826100	76.376800	74.299533	67.149733	78.550733	65.845400	76.086967	67.826100	93.719800	
71.111100	61.081100	72.252267	65.765767	52.792800	71.471500	77.417400	76.876900	73.513500	65.765733	77.717700	66.066067	74.234233	68.648633	94.174167	
