72.6847	64.1441	73.2252	70.8108	
60.2523	55.1351	64.6126	63.8198	
55.4595	51.9640	56.5045	57.4414	
57.6937	60.2523	63.9640	62.3784	
46.1261	48.4324	70.1982	68.5766	
45.5495	40.5405	52.4324	53.4414	
60.6486	59.9640	65.7658	62.4144	
60.6126	62.2703	74.4505	69.1892	
61.0450	64.1441	74.0901	67.7838	
61.5495	62.6667	73.7297	70.9910	
49.1171	48.5045	56.2883	55.4955	
60.6126	61.3333	57.2613	56.9009	
44.4685	46.6306	50.5586	49.1171	
38.9550	39.1712	55.0631	52.5405	
48.7568	46.7748	53.2613	50.9189	
50.5586	51.2793	74.3423	73.4775	
59.6757	52.2162	61.2252	56.4685	
57.0450	51.2793	68.0360	64.0000	
59.3874	52.3243	77.0450	74.6306	
62.3423	53.1892	82.8108	79.4234	
53.4775	49.4775	62.3423	60.0360	
62.9550	57.7658	72.7568	71.1351	
59.8919	54.5586	70.6306	66.7387	
55.4234	48.2162	70.6306	66.2342	
66.0901	65.2973	73.1171	70.5225	
69.0090	68.1802	70.4144	66.0180	
68.7568	68.3964	67.2072	64.9009	
57.9459	58.8108	60.1802	58.3423	
65.2613	63.5315	63.0631	63.3153	
51.4955	53.2252	68.0000	63.3153	
64.8288	62.9910	69.4054	67.5315	
68.7207	70.4144	68.2162	66.4865	
72.7207	72.8649	74.6306	72.6847	
59.8559	60.7207	70.7027	67.2432	
55.4595	54.7748	50.6667	52.8649	
66.0901	65.6577	72.7568	69.0450	
59.0631	52.9009	69.0450	68.2162	
67.6396	66.2703	78.4865	75.5315	
55.7117	56.7928	69.6937	65.7658	
68.2162	69.3694	74.0180	72.5766	
45.3694	44.9009	58.7027	58.2342	
56.0360	54.9189	56.7568	56.2523	
84.6126	81.0811	95.3874	91.6036	
79.3153	72.9009	86.9910	86.3423	
91.2072	83.3874	95.4234	93.9099	
