79.0270	81.0870	81.6393	82.0290	81.6216	77.4054	78.6957	80.3279	80.1449	81.0811	
69.2973	69.7826	70.2732	70.8696	69.0090	67.6757	68.3333	67.9781	68.4058	66.8468	
67.7477	69.4928	70.0546	70.0000	69.0090	65.8739	67.8986	65.9016	66.8116	65.4054	
61.4414	61.4493	61.4208	61.3043	59.4595	60.7568	59.9275	57.9235	58.2609	58.3784	
75.3153	75.7246	75.1913	74.2029	72.6126	74.7748	74.7826	72.8962	73.9130	72.6126	
58.7748	57.6087	55.1913	54.6377	54.0541	58.3423	56.5217	53.8798	54.3478	52.2523	
66.2342	65.7971	66.6667	65.3623	67.7477	69.1892	68.5507	68.8525	66.3768	67.5676	
75.3153	75.2899	74.8634	74.7826	74.5946	74.1261	75.2899	77.3770	77.1014	74.9550	
78.1622	76.4493	74.5355	75.2174	75.1351	76.9009	75.3623	74.6448	74.2029	74.2342	
78.8468	78.8406	77.5956	77.2464	77.2973	79.4955	80.0000	80.1093	78.2609	78.7387	
63.4955	63.5507	64.0437	63.4783	65.9459	64.2883	63.4058	66.1202	62.6087	62.1622	
60.3604	59.2029	58.3607	55.0725	56.2162	62.6667	59.0580	60.6557	57.6812	56.3964	
52.3964	48.9130	44.4809	41.7391	41.2613	50.9189	49.0580	44.3716	42.7536	44.8649	
50.1982	49.7826	51.0383	51.5942	52.4324	51.6757	53.5507	54.2077	56.8116	58.1982	
56.6847	57.8986	57.3770	57.5362	56.5766	54.9910	54.3478	56.1749	57.2464	55.3153	
72.2162	73.1884	72.8962	73.1884	74.2342	73.4054	73.6957	73.4426	73.3333	73.1532	
71.8198	70.8696	72.3497	71.1594	70.9910	69.5856	69.7101	71.2568	69.7101	70.0901	
70.7027	70.7246	71.8033	72.0290	72.7928	69.2252	69.3478	69.8361	70.4348	71.1712	
84.8288	84.9275	84.9180	85.5072	82.5225	83.9640	83.6232	82.7322	82.7536	82.7027	
85.4054	87.0290	87.2131	86.5217	85.7658	84.8649	86.3768	86.5574	86.6667	85.2252	
64.5766	63.7681	63.1694	62.4638	65.9459	64.1441	63.1884	63.8251	64.0580	64.3243	
75.8198	75.2899	74.3169	74.0580	75.8559	76.7207	75.0000	73.9891	74.4928	76.3964	
77.3333	76.3768	77.8142	77.3913	76.9369	75.9279	75.4348	76.5027	77.1014	76.5766	
79.5676	79.2754	77.7049	76.3768	76.7568	78.8108	77.7536	78.2514	77.5362	77.6577	
74.5946	75.2174	74.8634	74.6377	74.4144	74.3423	74.1304	73.6612	73.4783	73.5135	
73.4054	74.7101	75.3005	74.9275	73.8739	77.5856	78.8406	78.3607	77.2464	76.3964	
65.1171	66.8116	65.9016	64.2029	62.5225	73.2252	73.4783	73.4426	72.1739	70.6306	
67.3514	66.9565	63.3880	62.7536	61.9820	72.2523	71.6667	70.2732	67.9710	68.6486	
65.0811	62.7536	60.2186	58.9855	59.0991	66.4144	65.3623	63.9344	61.7391	60.0000	
73.2973	72.2464	71.6940	71.7391	70.4505	72.3964	71.8841	71.6940	71.7391	68.6486	
77.4775	80.0000	80.3279	81.4493	79.4595	79.7117	80.6522	80.0000	79.5652	77.8378	
77.8378	77.3913	76.1749	75.6522	74.9550	81.1532	79.0580	77.9235	76.0870	76.0360	
82.3063	83.4783	84.2623	82.4638	83.6036	82.7027	80.8696	81.8579	80.0000	79.2793	
73.2252	75.2899	74.8634	73.1884	72.2523	74.8829	73.9130	72.4590	71.1594	72.4324	
56.6486	55.2899	53.1148	51.5942	48.6486	58.6306	56.6667	57.1585	53.6232	52.9730	
75.3874	75.4348	75.3005	75.0725	75.1351	75.6396	75.0725	73.7705	72.7536	72.7928	
62.8829	62.2464	60.6557	59.4203	55.3153	66.2342	64.9275	64.9180	64.2029	60.1802	
80.2162	80.8696	81.5301	81.3043	82.1622	81.5856	81.8116	82.4044	84.4928	82.5225	
79.3514	79.2029	80.1093	79.1304	78.7387	79.0270	80.4348	80.3279	79.5652	80.0000	
79.6396	78.8406	77.9235	78.1159	78.0180	80.5766	80.3623	80.6557	79.4203	82.7027	
57.3333	58.4783	57.4863	57.6812	60.7207	59.2072	62.2464	62.7322	63.7681	65.4054	
59.1351	59.7826	58.0328	59.5652	57.2973	58.4865	60.2174	58.4699	60.2899	57.8378	
97.2252	97.3188	97.4863	96.3768	96.9369	96.1802	96.5942	97.0492	97.1014	96.9369	
89.1171	88.6957	89.6175	89.2754	90.9910	87.8919	88.9130	88.5246	88.4058	88.8288	
95.7477	95.5072	95.8470	96.6667	96.5766	94.6306	95.5072	95.0820	95.6522	96.7568	
